
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:01:23:45:67:89, 2016-03-19 09:13:01, 2016-03-19 09:15:51,  6,  54, WPA2, CCMP,PSK, -93,      119,        1,   0.  0.  0.  0,   8, shwabrik, 
C0:4A:00:F2:76:3A, 2016-03-19 09:12:59, 2016-03-19 09:15:52,  6,  54, WPA2WPA , CCMP,PSK, -87,     1035,        3,   0.  0.  0.  0,   5, Shmel, 
20:CF:30:88:BE:C5, 2016-03-19 09:12:59, 2016-03-19 09:15:52,  6,  54, WPA , TKIP,PSK, -80,     1070,       64,   0.  0.  0.  0,  12, WL520GC_78RK, 
1C:7E:E5:38:5E:48, 2016-03-19 09:12:59, 2016-03-19 09:15:52,  7,  54, WPA2WPA , CCMP TKIP,PSK, -78,      794,        0,   0.  0.  0.  0,   5, Dlink, 
14:CC:20:0A:E9:D6, 2016-03-19 09:12:59, 2016-03-19 09:15:52,  6,  54, WPA2WPA , CCMP,PSK, -73,     1447,        0,   0.  0.  0.  0,  10, user-72040, 
78:24:AF:80:65:58, 2016-03-19 09:12:59, 2016-03-19 09:15:52,  6,  54, WPA2, CCMP,PSK, -71,     1402,       95,   0.  0.  0.  0,   7, Venenum, 
64:70:02:57:8C:D6, 2016-03-19 09:13:02, 2016-03-19 09:15:49,  9,  54, WPA2, CCMP,PSK, -69,       19,        3,   0.  0.  0.  0,   6, TP-SEB, 
A0:F3:C1:F7:58:56, 2016-03-19 09:13:02, 2016-03-19 09:15:47,  6,  -1, WPA ,       ,   ,  -1,        0,        6,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
DC:53:60:7E:C5:7F, 2016-03-19 09:13:54, 2016-03-19 09:14:45, -35,        3, 64:70:02:57:8C:D6,
9C:04:EB:EC:CB:84, 2016-03-19 09:13:36, 2016-03-19 09:14:36,  -1,        2, 20:CF:30:88:BE:C5,
34:FC:EF:E7:B6:3D, 2016-03-19 09:14:27, 2016-03-19 09:14:27, -81,        3, (not associated) , Utesov
D0:87:E2:44:32:1C, 2016-03-19 09:14:15, 2016-03-19 09:14:15, -91,        1, (not associated) ,
58:3F:54:B3:5E:86, 2016-03-19 09:14:08, 2016-03-19 09:14:08, -97,        1, 00:01:23:45:67:89,
18:22:7E:71:40:6C, 2016-03-19 09:13:34, 2016-03-19 09:13:34, -87,        2, (not associated) ,
00:C2:C6:03:41:9D, 2016-03-19 09:13:53, 2016-03-19 09:13:53, -51,        3, (not associated) ,
60:8F:5C:C6:23:BA, 2016-03-19 09:15:37, 2016-03-19 09:15:37, -93,        4, (not associated) ,
90:00:DB:42:B7:49, 2016-03-19 09:13:05, 2016-03-19 09:15:48, -87,       28, (not associated) ,
30:10:E4:0D:91:68, 2016-03-19 09:14:45, 2016-03-19 09:14:50, -87,        3, 1C:7E:E5:38:5E:48,
E8:B4:C8:DE:4C:BD, 2016-03-19 09:14:11, 2016-03-19 09:14:56, -85,        5, (not associated) ,
EC:89:F5:39:B9:00, 2016-03-19 09:13:02, 2016-03-19 09:15:47, -71,       16, A0:F3:C1:F7:58:56,
00:A0:96:C3:B4:1D, 2016-03-19 09:13:28, 2016-03-19 09:15:36, -63,        5, 20:CF:30:88:BE:C5,
F0:D1:A9:ED:F6:98, 2016-03-19 09:13:28, 2016-03-19 09:15:36, -53,       15, 20:CF:30:88:BE:C5,
B8:E8:56:98:DF:1F, 2016-03-19 09:12:59, 2016-03-19 09:15:44, -49,      159, 78:24:AF:80:65:58,
E0:C9:7A:85:A3:2E, 2016-03-19 09:13:37, 2016-03-19 09:15:36,  -1,        2, 20:CF:30:88:BE:C5,

